Date,Open,High,Low,Close ,Adj Close ,Volume
45139,29230.87,29675.73,28657.02,29675.73,29675.73,18272392391
45138,29278.31,29489.87,29131.58,29230.11,29230.11,11656781982
45137,29357.09,29443.17,29059.5,29275.31,29275.31,8678454527
45136,29319.45,29396.84,29264.17,29356.92,29356.92,6481775959
45135,29212.16,29521.51,29125.85,29319.25,29319.25,11218474952
45134,29353.8,29560.97,29099.35,29210.69,29210.69,10770779217
45133,29225.76,29675.55,29113.91,29354.97,29354.97,13497554655
45132,29178.97,29353.16,29062.43,29227.39,29227.39,10266772793
45131,30081.66,30093.39,28934.29,29176.92,29176.92,15395817395
45130,29790.11,30330.64,29741.53,30084.54,30084.54,9220145050
45129,29908.7,29991.62,29664.12,29771.8,29771.8,7873300598
45128,29805.11,30046,29733.85,29908.74,29908.74,10972789818
45127,29915.25,30195.53,29638.1,29792.02,29792.02,14655207121
45126,29862.05,30184.18,29794.27,29913.92,29913.92,12128602812
45125,30147.07,30233.66,29556.43,29856.56,29856.56,13138897269
45124,30249.63,30336.4,29685.78,30145.89,30145.89,13240156074
45123,30297.47,30437.56,30089.67,30249.13,30249.13,8516564470
45122,30331.78,30407.78,30263.46,30295.81,30295.81,8011667756
45121,31474.72,31582.25,29966.39,30334.07,30334.07,20917902660
45120,30387.49,31814.52,30268.35,31476.05,31476.05,23686079548
45119,30622.25,30959.96,30228.84,30391.65,30391.65,14805659717
45118,30417.63,30788.31,30358.1,30620.95,30620.95,12151839152
45117,30172.42,31026.08,29985.39,30414.47,30414.47,14828209155
45116,30291.61,30427.59,30085.59,30171.23,30171.23,7903327692
45115,30346.92,30374.44,30080.16,30292.54,30292.54,7509378699
45114,29908,30434.64,29777.29,30342.27,30342.27,13384770155
45113,30507.15,31460.05,29892.23,29909.34,29909.34,21129219509
45112,30778.72,30877.33,30225.61,30514.17,30514.17,12481622280
45111,31156.87,31325.2,30659.36,30777.58,30777.58,12810828427
45110,30624.52,31375.61,30586.51,31156.44,31156.44,15271884873
45109,30587.27,30766.14,30264.02,30620.77,30620.77,10533418042
45108,30471.85,30641.29,30328.87,30590.08,30590.08,9086606733
45107,30441.35,31256.86,29600.28,30477.25,30477.25,26387306197
45106,30086.19,30796.25,30057.2,30445.35,30445.35,13180860821
45105,30696.56,30703.28,29921.82,30086.25,30086.25,14571500779
45104,30274.32,31006.79,30236.65,30688.16,30688.16,16428827944
45103,30480.52,30636.03,29955.74,30271.13,30271.13,16493186997
45102,30545.15,31041.27,30327.94,30480.26,30480.26,12703464114
45101,30708.74,30804.15,30290.15,30548.7,30548.7,12147822496
45100,29896.38,31389.54,29845.21,30695.47,30695.47,24115570085
45099,29995.94,30496,29679.16,29912.28,29912.28,20653160491
45098,28311.31,30737.33,28283.41,30027.3,30027.3,33346760979
45097,26841.66,28388.97,26668.79,28327.49,28327.49,22211859147
45096,26335.44,26984.61,26312.83,26851.03,26851.03,12826986222
45095,26510.46,26675.93,26325.89,26336.21,26336.21,9565695129
45094,26328.68,26769.39,26174.49,26510.68,26510.68,11090276850
45093,25575.28,26463.17,25245.36,26327.46,26327.46,16324646965
45092,25121.67,25735.31,24797.17,25576.39,25576.39,15837384409
45091,25920.26,26041.8,24902.15,25124.68,25124.68,14265717766
45090,25902.94,26376.35,25728.37,25918.73,25918.73,14143474486
45089,25934.29,26087.92,25675.2,25902.5,25902.5,11677889997
45088,25854.03,26203.44,25668.99,25940.17,25940.17,10732609603
45087,26481.76,26531.04,25501.84,25851.24,25851.24,19872933189
45086,26505.92,26770.29,26339.31,26480.38,26480.38,11015551640
45085,26347.65,26797.51,26246.66,26508.22,26508.22,11904824295
45084,27235.65,27332.18,26146.99,26346,26346,19530045082
45083,25732.11,27313.82,25434.87,27238.78,27238.78,21929670693
45082,27123.11,27129.98,25445.17,25760.1,25760.1,21513292646
45081,27075.12,27407.02,26968.22,27119.07,27119.07,9360912318
45080,27252.32,27317.05,26958,27075.13,27075.13,8385597470
45079,26824.56,27303.86,26574.64,27249.59,27249.59,14837415000
45078,27218.41,27346.11,26671.72,26819.97,26819.97,14678970415
45077,27700.53,27831.68,26866.45,27219.66,27219.66,15656371534
45076,27745.12,28044.76,27588.5,27702.35,27702.35,13251081851
45075,28075.59,28432.04,27563.88,27745.88,27745.88,15181308984
45074,26871.16,28193.45,26802.75,28085.65,28085.65,14545229578
45073,26720.18,26888.88,26621.14,26868.35,26868.35,7892015141
45072,26474.18,26916.67,26343.95,26719.29,26719.29,12711619225
45071,26329.46,26591.52,25890.59,26476.21,26476.21,13851122697
45070,27224.6,27224.6,26106.58,26334.82,26334.82,16299104428
45069,26855.96,27434.68,26816.18,27225.73,27225.73,13697203143
45068,26749.89,27045.73,26549.73,26851.28,26851.28,11056770492
45067,27118.42,27265.92,26706.92,26753.83,26753.83,8647416921
45066,26888.84,27155.16,26843.28,27129.59,27129.59,7044911360
45065,26826.75,27128.62,26700.21,26890.13,26890.13,11258983301
45064,27401.65,27466.53,26415.1,26832.21,26832.21,15222938600
45063,27035.47,27465.93,26600.14,27398.8,27398.8,15140006925
45062,27171.51,27299.3,26878.95,27036.65,27036.65,12732238816
45061,26931.38,27646.35,26766.1,27192.69,27192.69,14413231792
45060,26788.97,27150.98,26661.36,26930.64,26930.64,10014858959
45059,26807.77,27030.48,26710.87,26784.08,26784.08,9999171605
45058,26987.66,27055.65,25878.43,26804.99,26804.99,19313599897
45057,27621.09,27621.94,26781.83,27000.79,27000.79,16724343943
45056,27654.64,28322.69,26883.67,27621.76,27621.76,20656025026
45055,27695.07,27821.4,27375.6,27658.78,27658.78,14128593256
45054,28450.46,28663.27,27310.13,27694.27,27694.27,19122903752
45053,28901.62,29157.52,28441.37,28454.98,28454.98,11301355486
45052,29538.86,29820.13,28468.97,28904.62,28904.62,15913866714
45051,28851.48,29668.91,28845.51,29534.38,29534.38,17936566518
45050,29031.3,29353.19,28694.04,28847.71,28847.71,15548678514
45049,28680.49,29259.53,28178.39,29006.31,29006.31,19122972518
45048,28087.18,28881.3,27924.12,28680.54,28680.54,16432924527
45047,29227.1,29329.94,27680.79,28091.57,28091.57,18655599976
45046,29245.52,29952.03,29114.02,29268.81,29268.81,14652199272
45045,29336.57,29452.46,29088.04,29248.49,29248.49,10662634333
45044,29481.01,29572.79,28929.61,29340.26,29340.26,17544464887
45043,28428.46,29871.55,28402.89,29473.79,29473.79,27153445027
45042,28300.06,29995.84,27324.55,28422.7,28422.7,31854242019
45041,27514.87,28371.08,27207.93,28307.6,28307.6,17733373139
45040,27591.73,27979.98,27070.85,27525.34,27525.34,17703288330
45039,27816.14,27820.24,27400.31,27591.38,27591.38,12785446832
45038,27265.89,27872.14,27169.57,27817.5,27817.5,13125734602
45037,28249.23,28349.97,27177.37,27276.91,27276.91,20759504330
45036,28823.68,29076.4,28037.26,28245.99,28245.99,21340360360
45035,30394.19,30411.05,28669.9,28822.68,28822.68,24571565421
45034,29449.09,30470.3,29154.85,30397.55,30397.55,19480529496
45033,30317.15,30319.2,29275.37,29445.04,29445.04,17872186762
45032,30315.98,30555.54,30157.83,30315.36,30315.36,12854816417
45031,30490.75,30601.74,30245.88,30318.5,30318.5,11940685378
45030,30409.56,31005.61,30044.5,30485.7,30485.7,22659995079
45029,29892.74,30539.85,29878.62,30399.07,30399.07,17487721001
45028,30231.58,30462.48,29725.57,30139.05,30139.05,18651929926
45027,29653.68,30509.08,29609.3,30235.06,30235.06,20121259843
45026,28336.03,29771.46,28189.27,29652.98,29652.98,19282400094
45025,27952.37,28532.83,27828.48,28333.05,28333.05,12175322951
45024,27920.51,28159.86,27883.39,27947.79,27947.79,9373255556
45023,28038.97,28111.59,27794.03,27925.86,27925.86,10861680497
45022,28175.23,28178.38,27738.76,28044.14,28044.14,13837809380
45021,28169.73,28739.24,27843.76,28177.98,28177.98,17052315986
45020,27795.27,28433.74,27681.3,28168.09,28168.09,15284538859
45019,28183.08,28475.62,27276.72,27790.22,27790.22,19556501327
45018,28462.85,28518.96,27884.09,28199.31,28199.31,12284641999
45017,28473.33,28802.46,28297.17,28411.04,28411.04,10876469901
45016,28032.26,28639.9,27583.71,28478.48,28478.48,19001327598
45015,28350.14,29159.9,27720.16,28033.56,28033.56,22435349951
45014,27267.03,28619.54,27259.66,28348.44,28348.44,20684945906
45013,27132.89,27460.72,26677.82,27268.13,27268.13,17783600385
45012,27994.07,28037.93,26606.69,27139.89,27139.89,18188895178
45011,27495.52,28178.14,27445.05,27994.33,27994.33,13878363192
45010,27487.34,27791.83,27196.23,27494.71,27494.71,13383005987
45009,28324.11,28388.44,27039.27,27493.29,27493.29,25980310960
45008,27301.96,28729.84,27183.36,28333.97,28333.97,24220433689
45007,28158.72,28803.34,26760,27307.44,27307.44,33382021890
45006,27768.39,28439.56,27439.65,28175.82,28175.82,36102192830
45005,28041.6,28527.72,27242.88,27767.24,27767.24,44774027664
45004,26969.5,28440.56,26907.72,28038.68,28038.68,37769448859
45003,27448.12,27725.95,26636.26,26965.88,26965.88,35723036817
45002,25055.12,27787.81,24955.17,27423.93,27423.93,50730261335
45001,24373.46,25190.33,24225.11,25052.79,25052.79,33866061747
45000,24770.93,25240.62,23964.91,24375.96,24375.96,43655701450
44999,24201.77,26514.72,24081.18,24746.07,24746.07,54622230164
44998,22156.41,24550.84,21918.2,24197.53,24197.53,49466362688
44997,20628.03,22185.03,20448.81,22163.95,22163.95,29279035521
44996,20187.88,20792.53,20068.66,20632.41,20632.41,30180288176
44995,20367,20370.6,19628.25,20187.24,20187.24,39578257695
44994,21720.08,21802.72,20210.31,20363.02,20363.02,30364664171
44993,22216.44,22268.9,21708.05,21718.08,21718.08,22536575684
44992,22428.32,22527.42,22011.26,22219.77,22219.77,22765452204
44991,22436.82,22584.29,22331.31,22429.76,22429.76,17353192895
44990,22354.14,22613.69,22307.14,22435.51,22435.51,13317001733
44989,22362.92,22405.18,22198.98,22353.35,22353.35,11166012913
44988,23476.63,23479.35,22213.24,22362.68,22362.68,26062404610
44987,23647.02,23739.14,23245.02,23475.47,23475.47,20386398516
44986,23150.93,23880.63,23088.63,23646.55,23646.55,24662841200
44985,23521.84,23585.38,23077.65,23147.35,23147.35,20535363434
44984,23561.45,23857.89,23205.88,23522.87,23522.87,22660763494
44983,23174.15,23654.37,23084.22,23561.21,23561.21,16644534842
44982,23200.13,23210.21,22861.56,23175.38,23175.38,16100721565
44981,23946.01,24103.71,23007.07,23198.13,23198.13,26811744928
44980,24190.72,24572.09,23693.92,23947.49,23947.49,30476264066
44979,24437.42,24472.34,23644.32,24188.84,24188.84,30199996781
44978,24833.05,25126.85,24200.36,24436.35,24436.35,31252098714
44977,24336.62,25020.46,23927.91,24829.15,24829.15,28987376573
44976,24640.03,25093.05,24327.64,24327.64,24327.64,25555105670
44975,24565.3,24798.84,24468.37,24641.28,24641.28,19625427158
44974,23621.28,24924.04,23460.76,24565.6,24565.6,41358451255
44973,24307.35,25134.12,23602.52,23623.47,23623.47,39316664596
44972,22220.59,24307.84,22082.77,24307.84,24307.84,32483312909
44971,21801.82,22293.14,21632.39,22220.8,22220.8,26792596581
44970,21787,21898.41,21460.09,21808.1,21808.1,23918742607
44969,21870.9,22060.99,21682.83,21788.2,21788.2,17821046406
44968,21651.84,21891.41,21618.45,21870.88,21870.88,16356226232
44967,21819.01,21941.19,21539.39,21651.18,21651.18,27078406594
44966,22946.57,22996.44,21773.97,21819.04,21819.04,32572572185
44965,23263.42,23367.96,22731.1,22939.4,22939.4,25371367758
44964,22757.27,23310.97,22756.26,23264.29,23264.29,27187964471
44963,22954.02,23119.28,22692.03,22760.11,22760.11,23825006542
44962,23332.25,23423.44,22841.76,22955.67,22955.67,19564262605
44961,23446.32,23556.95,23291.79,23331.85,23331.85,15639298538
44960,23469.41,23678.1,23279.96,23449.32,23449.32,27083066007
44959,23720.82,24167.21,23468.6,23471.87,23471.87,32066936882
44958,23137.84,23764.54,22877.75,23723.77,23723.77,26683255504
44957,22840.8,23225.02,22765.57,23139.28,23139.28,22837828665
44956,23774.65,23789.35,22657.58,22840.14,22840.14,27205595568
44955,23031.45,23919.89,22985.07,23774.57,23774.57,27423687259
44954,23079.96,23165.9,22908.85,23031.09,23031.09,14712928379
44953,23030.72,23417.72,22654.59,23078.73,23078.73,25383335641
44952,23108.96,23237.08,22911.37,23032.78,23032.78,26357839322
44951,22639.27,23722.1,22406.08,23117.86,23117.86,30685366709
44950,22929.63,23134.01,22549.74,22636.47,22636.47,26405069715
44949,22721.09,23126.49,22654.3,22934.43,22934.43,26518700512
44948,22777.99,23056.73,22387.9,22720.42,22720.42,24746386230
44947,22677.43,23282.35,22511.83,22777.63,22777.63,32442278429
44946,21085.37,22692.36,20919.13,22676.55,22676.55,28799154319
44945,20686.75,21163.01,20685.38,21086.79,21086.79,21152848261
44944,21161.05,21564.5,20541.54,20688.78,20688.78,30005625418
44943,21175.83,21438.66,20978.53,21161.52,21161.52,24999983362
44942,20882.22,21360.88,20715.75,21169.63,21169.63,26792494050
44941,20977.48,20993.75,20606.99,20880.8,20880.8,19298407543
44940,19910.54,21075.14,19907.83,20976.3,20976.3,38967784639
44939,18868.91,19964.32,18753.16,19909.57,19909.57,29225029694
44938,18117.59,19030.09,17995.2,18869.59,18869.59,34971338710
44937,17446.36,17934.9,17337.99,17934.9,17934.9,18372283782
44936,17192.95,17484.72,17162.99,17446.29,17446.29,15808338949
44935,17093.99,17389.96,17093.99,17196.55,17196.55,18624736866
44934,16954.15,17091.14,16924.05,17091.14,17091.14,9768827914
44933,16952.12,16975.02,16914.19,16955.08,16955.08,7714767174
44932,16836.47,16991.99,16716.42,16951.97,16951.97,14413662913
44931,16863.47,16884.02,16790.28,16836.74,16836.74,13692758566
44930,16680.21,16964.59,16667.76,16863.24,16863.24,18421743322
44929,16688.85,16760.45,16622.37,16679.86,16679.86,13903079207
44928,16625.51,16759.34,16572.23,16688.47,16688.47,12097775227
44927,16547.91,16630.44,16521.23,16625.08,16625.08,9244361700
44926,16603.67,16628.99,16517.52,16547.5,16547.5,11239186456
44925,16641.33,16643.43,16408.47,16602.59,16602.59,15929162910
44924,16552.32,16651.76,16508.68,16642.34,16642.34,14472237479
44923,16716.4,16768.17,16497.56,16552.57,16552.57,17005713920
44922,16919.29,16959.85,16642.07,16717.17,16717.17,15748580239
44921,16842.25,16920.12,16812.37,16919.8,16919.8,11886957804
44920,16847.51,16860.55,16755.25,16841.99,16841.99,11656379938
44919,16796.98,16864.7,16793.53,16847.76,16847.76,9744636213
44918,16829.64,16905.22,16794.46,16796.95,16796.95,15329265213
44917,16818.38,16866.67,16592.41,16830.34,16830.34,16441573050
44916,16904.53,16916.8,16755.91,16817.54,16817.54,14882945045
44915,16441.79,17012.98,16427.87,16906.3,16906.3,22722096615
44914,16759.04,16807.53,16398.14,16439.68,16439.68,17221074814
44913,16795.61,16815.39,16697.82,16757.98,16757.98,10924354698
44912,16646.98,16800.59,16614.03,16795.09,16795.09,14463581825
44911,17364.55,17505.53,16584.7,16647.48,16647.48,24031608960
44910,17813.64,17846.74,17322.59,17364.87,17364.87,20964448341
44909,17782.07,18318.53,17739.51,17815.65,17815.65,25534481470
44908,17206.44,17930.09,17111.76,17781.32,17781.32,26634741631
44907,17102.5,17212.56,16899.39,17206.44,17206.44,19617581341
44906,17129.71,17245.63,17091.82,17104.19,17104.19,14122486832
44905,17134.22,17216.83,17120.68,17128.72,17128.72,12706781969
44904,17232.15,17280.55,17100.84,17133.15,17133.15,20328426366
44903,16847.35,17267.92,16788.78,17233.47,17233.47,20496603770
44902,17089.51,17109.38,16750.56,16848.13,16848.13,19675404389
44901,16975.24,17091.86,16939.92,17089.5,17089.5,19889922369
44900,17128.89,17378.15,16922.43,16974.83,16974.83,22209086834
44899,16908.17,17157.77,16903.44,17130.49,17130.49,16824520830
44898,17090.1,17116.04,16888.14,16908.24,16908.24,16217776704
44897,16968.68,17088.66,16877.88,17088.66,17088.66,19539705127
44896,17168,17197.5,16888.39,16967.13,16967.13,22895392882
44895,16445.48,17190.94,16445.48,17168.57,17168.57,29523576583
44894,16217.64,16522.26,16139.4,16444.98,16444.98,23581685468
44893,16440.22,16482.93,16054.53,16217.32,16217.32,27743025156
44892,16463.88,16594.41,16437.03,16444.63,16444.63,20443898509
44891,16521.58,16666.86,16416.23,16464.28,16464.28,18000008764
44890,16602.27,16603.32,16388.4,16521.84,16521.84,18678255976
44889,16611.64,16771.47,16501.77,16604.46,16604.46,26129037414
44888,16195.59,16638.19,16170.5,16610.71,16610.71,32958875628
44887,15782.3,16253.05,15656.61,16189.77,16189.77,30726828760
44886,16291.22,16291.22,15599.05,15787.28,15787.28,37429485518
44885,16712.92,16746.78,16248.69,16291.83,16291.83,21313378652
44884,16696.22,16797.88,16570.41,16711.55,16711.55,16106223492
44883,16687.91,16947.06,16564.61,16697.78,16697.78,26862218609
44882,16670.43,16726.44,16460.68,16687.52,16687.52,27868914022
44881,16884.34,16960.29,16430.11,16669.44,16669.44,33925512989
44880,16617.48,17051.96,16542.55,16884.61,16884.61,36599436183
44879,16352.03,17109.32,15872.94,16618.2,16618.2,49630243054
44878,16799.72,16920.77,16320.63,16353.37,16353.37,27209183682
44877,17036.88,17066.68,16651.78,16799.19,16799.19,29717699419
44876,17583.25,17650.94,16543.48,17034.29,17034.29,55871616488
44875,15883.16,18054.31,15834.02,17586.77,17586.77,83202283721
44874,18543.76,18590.46,15682.69,15880.78,15880.78,1.02905E+11
44873,20600.67,20664.61,17603.54,18541.27,18541.27,1.18992E+11
